epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.77,3.67459,5.77695,4.2289,0,0,0,0,3.57897,5.38771,4.1477,0.00330918,0.00330918,0.00330918
2,307.818,3.63834,5.69975,4.1445,0.0001,0.00353,6e-05,2e-05,3.50683,inf,4.71699,0.00663155,0.00663155,0.00663155
3,377.53,2.65929,4.62104,2.8958,0.08311,0.02412,0.00417,0.00161,2.46511,5.11538,2.6647,0.00994293,0.00994293,0.00994293
4,418.761,2.0374,3.87004,2.1092,0.29319,0.04972,0.01876,0.00904,2.01877,3.58211,2.14793,0.0099505,0.0099505,0.0099505
5,459.084,1.81899,3.45232,1.87291,0.25203,0.09199,0.04506,0.0238,1.86366,3.15337,1.9372,0.009934,0.009934,0.009934
6,499.484,1.72465,3.12674,1.75729,0.21573,0.1217,0.06366,0.03405,1.79158,2.92183,1.84544,0.0099175,0.0099175,0.0099175
7,539.264,1.6318,2.90149,1.66892,0.23488,0.14563,0.09325,0.0525,1.68664,2.71215,1.75213,0.009901,0.009901,0.009901
8,578.175,1.57301,2.73844,1.61826,0.28173,0.16104,0.11489,0.06758,1.63446,2.55255,1.69121,0.0098845,0.0098845,0.0098845
9,616.539,1.54521,2.61424,1.58232,0.29297,0.18356,0.13894,0.08235,1.60362,2.43973,1.66795,0.009868,0.009868,0.009868
10,655.455,1.51201,2.51286,1.56048,0.29351,0.20656,0.15821,0.09647,1.56566,2.35953,1.61984,0.0098515,0.0098515,0.0098515
11,694.157,1.4725,2.414,1.51841,0.30679,0.21686,0.17319,0.10695,1.54211,2.29494,1.60029,0.009835,0.009835,0.009835
12,732.952,1.43926,2.40525,1.50209,0.34412,0.23362,0.19822,0.12318,1.50301,2.17146,1.5536,0.0098185,0.0098185,0.0098185
13,771.59,1.42827,2.29142,1.48159,0.36191,0.24522,0.21761,0.13648,1.47689,2.11036,1.54136,0.009802,0.009802,0.009802
14,810.556,1.41106,2.23658,1.48008,0.34385,0.25222,0.22038,0.1394,1.45308,2.09551,1.51705,0.0097855,0.0097855,0.0097855
15,849.86,1.37812,2.22421,1.45206,0.36262,0.25956,0.23794,0.15094,1.43836,2.0213,1.49004,0.009769,0.009769,0.009769
16,888.256,1.37032,2.17288,1.443,0.40127,0.27679,0.25672,0.16522,1.4195,1.94831,1.47953,0.0097525,0.0097525,0.0097525
17,926.364,1.3615,2.13508,1.4261,0.41638,0.28602,0.26701,0.17219,1.40756,1.9138,1.46437,0.009736,0.009736,0.009736
18,964.907,1.37711,2.0719,1.41747,0.39132,0.29489,0.27307,0.17678,1.39375,1.90328,1.45693,0.0097195,0.0097195,0.0097195
19,1003.19,1.34054,2.01373,1.40517,0.40625,0.301,0.28329,0.1854,1.37838,1.85864,1.44037,0.009703,0.009703,0.009703
20,1041.26,1.3325,1.99726,1.38988,0.42136,0.30486,0.28872,0.18958,1.37168,1.84188,1.42999,0.0096865,0.0096865,0.0096865
21,1079.42,1.30811,1.95649,1.3826,0.44344,0.31068,0.30326,0.1997,1.36368,1.79859,1.42343,0.00967,0.00967,0.00967
22,1117.45,1.29327,1.92197,1.37007,0.42665,0.32646,0.31276,0.20703,1.34584,1.75769,1.41166,0.0096535,0.0096535,0.0096535
23,1155.48,1.29702,1.90118,1.36476,0.44157,0.32949,0.31843,0.2083,1.34875,1.75227,1.40422,0.009637,0.009637,0.009637
24,1193.33,1.26737,1.88178,1.34748,0.45159,0.33219,0.32411,0.21494,1.33272,1.724,1.39118,0.0096205,0.0096205,0.0096205
