epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.323,3.67637,5.74178,4.22718,0,0,0,0,3.57373,5.39903,4.15826,0.00330918,0.00330918,0.00330918
2,429.044,3.18704,4.9535,3.60762,0.13994,0.03211,0.00187,0.00071,2.73079,4.57382,3.10634,0.00663155,0.00663155,0.00663155
3,504.658,2.2071,3.97929,2.46983,0.27422,0.06487,0.01647,0.00771,2.12012,4.55709,2.432,0.00994293,0.00994293,0.00994293
4,570.61,1.81744,3.40609,2.00608,0.22224,0.10267,0.0482,0.02639,1.81938,3.23357,2.05052,0.0099505,0.0099505,0.0099505
5,635.117,1.63333,3.07358,1.82911,0.24041,0.13393,0.08264,0.04746,1.678,2.826,1.88247,0.009934,0.009934,0.009934
6,699.003,1.55905,2.79204,1.73052,0.19004,0.1501,0.10006,0.0596,1.63753,2.65943,1.81773,0.0099175,0.0099175,0.0099175
7,762.549,1.48235,2.6263,1.6531,0.27535,0.17844,0.13898,0.08544,1.52346,2.44488,1.73245,0.009901,0.009901,0.009901
8,826.252,1.4384,2.48716,1.60694,0.2759,0.21062,0.16596,0.10261,1.49115,2.31038,1.69163,0.0098845,0.0098845,0.0098845
9,890.281,1.41776,2.39113,1.58585,0.31616,0.22153,0.17801,0.11061,1.46221,2.26936,1.65769,0.009868,0.009868,0.009868
10,954.207,1.38225,2.29718,1.56418,0.34308,0.22888,0.19341,0.12214,1.43095,2.22782,1.62556,0.0098515,0.0098515,0.0098515
11,1018.16,1.34528,2.20324,1.52387,0.36905,0.23643,0.20988,0.13528,1.40472,2.16705,1.59582,0.009835,0.009835,0.009835
12,1081.7,1.31325,2.17704,1.50868,0.38184,0.26517,0.23523,0.15106,1.37511,2.04504,1.56611,0.0098185,0.0098185,0.0098185
13,1144.52,1.30091,2.07967,1.48764,0.38356,0.26871,0.2422,0.15773,1.3557,1.98951,1.55528,0.009802,0.009802,0.009802
14,1207.89,1.27621,2.0174,1.47682,0.41405,0.28264,0.26358,0.17097,1.33854,1.94453,1.53695,0.0097855,0.0097855,0.0097855
15,1271.11,1.25731,2.00821,1.45876,0.39682,0.28882,0.27105,0.17812,1.31936,1.89623,1.51957,0.009769,0.009769,0.009769
16,1334.32,1.2441,1.96786,1.44802,0.41649,0.29246,0.28005,0.18421,1.30835,1.86507,1.50402,0.0097525,0.0097525,0.0097525
17,1396.96,1.23957,1.92589,1.43352,0.43634,0.307,0.29986,0.19945,1.28462,1.77954,1.48161,0.009736,0.009736,0.009736
18,1460.12,1.2514,1.86433,1.42627,0.43779,0.32233,0.31421,0.20878,1.26952,1.75491,1.47328,0.0097195,0.0097195,0.0097195
19,1522.7,1.21623,1.8097,1.41301,0.46287,0.32391,0.3229,0.21751,1.26051,1.70912,1.4668,0.009703,0.009703,0.009703
20,1585.35,1.2051,1.77911,1.39449,0.46718,0.3327,0.33646,0.22723,1.24494,1.68156,1.44434,0.0096865,0.0096865,0.0096865
21,1648.12,1.18733,1.76412,1.39177,0.46217,0.34696,0.34203,0.23183,1.23605,1.65213,1.43757,0.00967,0.00967,0.00967
22,1710.74,1.17258,1.71831,1.37729,0.46553,0.34419,0.34872,0.23582,1.22682,1.63663,1.42827,0.0096535,0.0096535,0.0096535
23,1773.48,1.17158,1.70802,1.37055,0.48577,0.36113,0.36105,0.24516,1.21972,1.61491,1.41986,0.009637,0.009637,0.009637
24,1835.89,1.14478,1.67643,1.35402,0.49088,0.35821,0.37138,0.25195,1.21237,1.57403,1.40892,0.0096205,0.0096205,0.0096205
25,1898.52,1.15548,1.6386,1.36067,0.48974,0.36618,0.37435,0.25489,1.20161,1.56793,1.40785,0.009604,0.009604,0.009604
26,1960.93,1.16047,1.62381,1.36126,0.50962,0.37567,0.38629,0.26428,1.19704,1.53551,1.39954,0.0095875,0.0095875,0.0095875
27,2023.62,1.13808,1.61436,1.35081,0.50805,0.37928,0.38913,0.26718,1.18236,1.52197,1.38613,0.009571,0.009571,0.009571
28,2086,1.10778,1.58217,1.32726,0.50611,0.3872,0.39463,0.27178,1.17959,1.50278,1.37739,0.0095545,0.0095545,0.0095545
29,2148.42,1.10356,1.56761,1.32557,0.50911,0.38638,0.39895,0.276,1.1719,1.49049,1.37326,0.009538,0.009538,0.009538
30,2210.53,1.11606,1.5469,1.32391,0.51452,0.38553,0.40286,0.27806,1.17199,1.47918,1.38144,0.0095215,0.0095215,0.0095215
31,2272.74,1.102,1.55547,1.32634,0.51836,0.39748,0.41154,0.28393,1.16666,1.45275,1.36809,0.009505,0.009505,0.009505
32,2334.69,1.11235,1.53193,1.31888,0.52688,0.40195,0.41542,0.28959,1.15748,1.43376,1.35929,0.0094885,0.0094885,0.0094885
