epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.718,3.64116,5.76559,4.237,0,0,0,0,3.57587,5.39133,4.1525,0.0032971,0.0032971,0.0032971
2,287.425,3.48196,5.32311,3.96527,0.00045,0.00683,0.0003,8e-05,3.07739,5.82514,3.5944,0.00661949,0.00661949,0.00661949
3,341.602,2.56506,4.427,2.85153,0.23602,0.02179,0.00491,0.0021,2.36192,4.18741,2.65758,0.00993089,0.00993089,0.00993089
4,395.553,1.97019,3.72024,2.19619,0.22659,0.06563,0.01931,0.00933,1.99906,3.70527,2.28254,0.0099505,0.0099505,0.0099505
5,449.952,1.77543,3.37652,1.95881,0.21945,0.09218,0.04738,0.02574,1.80152,3.22287,2.01652,0.009934,0.009934,0.009934
6,501.587,1.66037,3.08523,1.82693,0.21433,0.12619,0.0705,0.04032,1.7128,2.86451,1.90423,0.0099175,0.0099175,0.0099175
7,552.459,1.58149,2.93667,1.74918,0.2318,0.14575,0.09344,0.05527,1.63063,2.70203,1.82697,0.009901,0.009901,0.009901
8,604.946,1.53891,2.77689,1.69063,0.23475,0.16401,0.10534,0.06236,1.59872,2.66328,1.78398,0.0098845,0.0098845,0.0098845
9,656.764,1.49218,2.6279,1.65743,0.29245,0.18342,0.12826,0.07719,1.55584,2.5075,1.7377,0.009868,0.009868,0.009868
10,707.686,1.46661,2.53283,1.62551,0.2845,0.19362,0.14398,0.0881,1.51631,2.41609,1.71151,0.0098515,0.0098515,0.0098515
11,760.142,1.42409,2.42436,1.58027,0.3145,0.20503,0.16267,0.10067,1.47503,2.36184,1.65777,0.009835,0.009835,0.009835
12,811.557,1.39697,2.38309,1.57561,0.31463,0.2098,0.17247,0.10747,1.45361,2.30656,1.64769,0.0098185,0.0098185,0.0098185
13,862.322,1.39323,2.29217,1.54857,0.30687,0.22847,0.19123,0.12096,1.44528,2.21536,1.63219,0.009802,0.009802,0.009802
14,913.827,1.36631,2.27897,1.54656,0.32038,0.22871,0.19489,0.12152,1.42096,2.20503,1.60477,0.0097855,0.0097855,0.0097855
15,963.823,1.33558,2.23091,1.51631,0.32357,0.2461,0.21549,0.13742,1.41141,2.10727,1.59295,0.009769,0.009769,0.009769
16,1014.9,1.32586,2.14811,1.49718,0.35995,0.2409,0.21719,0.13788,1.38929,2.11217,1.57063,0.0097525,0.0097525,0.0097525
17,1064.75,1.31755,2.10315,1.47965,0.37821,0.24696,0.23027,0.14875,1.37138,2.05126,1.55885,0.009736,0.009736,0.009736
18,1114.85,1.31101,2.07752,1.47834,0.38658,0.26613,0.24263,0.15784,1.3581,1.9797,1.53767,0.0097195,0.0097195,0.0097195
19,1165.17,1.28408,2.02368,1.46606,0.40319,0.28549,0.25887,0.16824,1.34139,1.93684,1.53807,0.009703,0.009703,0.009703
20,1215.19,1.28119,1.98046,1.44743,0.40647,0.28232,0.26412,0.17397,1.33027,1.90895,1.51997,0.0096865,0.0096865,0.0096865
21,1265.55,1.26525,1.9829,1.45342,0.41169,0.28212,0.27075,0.17733,1.32795,1.90628,1.50068,0.00967,0.00967,0.00967
22,1316.3,1.22574,1.92264,1.41514,0.3948,0.29291,0.27473,0.17863,1.31399,1.90562,1.50184,0.0096535,0.0096535,0.0096535
23,1366.07,1.24074,1.96798,1.4373,0.41587,0.29791,0.28458,0.18779,1.30404,1.83443,1.4878,0.009637,0.009637,0.009637
24,1415.96,1.24637,1.86075,1.4144,0.43436,0.31004,0.29574,0.19595,1.28813,1.79778,1.48082,0.0096205,0.0096205,0.0096205
25,1466.35,1.21611,1.81648,1.40722,0.41818,0.30848,0.29691,0.19768,1.28421,1.79274,1.47583,0.009604,0.009604,0.009604
26,1516.38,1.2049,1.83318,1.40416,0.43222,0.32181,0.31151,0.20637,1.2779,1.75049,1.47074,0.0095875,0.0095875,0.0095875
27,1566.01,1.19146,1.79082,1.38107,0.43466,0.3187,0.31202,0.20829,1.27513,1.75281,1.45661,0.009571,0.009571,0.009571
28,1615.85,1.19697,1.74567,1.38058,0.42783,0.33471,0.31893,0.21272,1.26265,1.72348,1.45358,0.0095545,0.0095545,0.0095545
29,1665.55,1.19407,1.7269,1.37218,0.44353,0.33129,0.32566,0.21788,1.25109,1.69626,1.44039,0.009538,0.009538,0.009538
30,1715,1.17816,1.74914,1.37101,0.44878,0.33412,0.33221,0.22406,1.25587,1.68833,1.4486,0.0095215,0.0095215,0.0095215
31,1764.36,1.17083,1.72374,1.36446,0.45707,0.33747,0.33719,0.22816,1.23932,1.6596,1.42976,0.009505,0.009505,0.009505
32,1813.88,1.15469,1.68422,1.36271,0.45415,0.33322,0.3333,0.22542,1.23599,1.66159,1.43092,0.0094885,0.0094885,0.0094885
33,1863.43,1.1551,1.66751,1.35435,0.4653,0.34001,0.34488,0.23258,1.22725,1.63224,1.41982,0.009472,0.009472,0.009472
34,1913.16,1.15887,1.67547,1.36004,0.45286,0.35633,0.35007,0.2359,1.22801,1.61793,1.41839,0.0094555,0.0094555,0.0094555
35,1962.7,1.15972,1.66884,1.36261,0.47703,0.35346,0.35554,0.24035,1.22041,1.59692,1.4071,0.009439,0.009439,0.009439
36,2012.03,1.14641,1.63574,1.34034,0.48503,0.353,0.36205,0.24572,1.216,1.5766,1.40802,0.0094225,0.0094225,0.0094225
37,2061.48,1.16598,1.63407,1.35467,0.47891,0.35474,0.36238,0.24607,1.21522,1.57771,1.40436,0.009406,0.009406,0.009406
38,2111.38,1.13479,1.60574,1.33075,0.48778,0.36111,0.36727,0.24925,1.20726,1.5542,1.39207,0.0093895,0.0093895,0.0093895
39,2161.17,1.11644,1.59078,1.32522,0.50244,0.36168,0.37447,0.25572,1.20037,1.54806,1.38874,0.009373,0.009373,0.009373
40,2211.09,1.13091,1.55656,1.31955,0.49088,0.37027,0.37744,0.259,1.19785,1.52964,1.38967,0.0093565,0.0093565,0.0093565
41,2260.52,1.10455,1.54814,1.31603,0.50241,0.3744,0.38334,0.26165,1.19141,1.51886,1.3812,0.00934,0.00934,0.00934
