epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.039,3.63715,5.77175,4.23451,0,0,0,0,3.57971,5.38726,4.14933,0.0032971,0.0032971,0.0032971
2,470.612,3.66982,5.75246,4.19471,0.00067,0.00818,0.00034,0.0001,3.86528,inf,16.9486,0.00661949,0.00661949,0.00661949
3,511.574,3.04825,5.01207,3.34223,0.31453,0.00439,0.00088,0.00027,2.79156,5.10473,3.0585,0.00993089,0.00993089,0.00993089
4,551.708,2.17442,4.07406,2.35239,0.25671,0.03782,0.00839,0.00375,2.15391,4.26401,2.37933,0.0099505,0.0099505,0.0099505
5,589.256,1.92858,3.67962,2.0585,0.2368,0.0638,0.02773,0.01379,1.97352,3.54474,2.12429,0.009934,0.009934,0.009934
6,624.47,1.80073,3.34096,1.91644,0.22817,0.09317,0.04493,0.02339,1.85743,3.22177,2.03028,0.0099175,0.0099175,0.0099175
7,660.05,1.72282,3.19746,1.83233,0.24813,0.1084,0.06194,0.03422,1.78849,2.9963,1.91307,0.009901,0.009901,0.009901
8,692.951,1.6687,3.01345,1.76655,0.2378,0.12923,0.078,0.04495,1.73016,2.80393,1.84907,0.0098845,0.0098845,0.0098845
9,726.183,1.6192,2.85154,1.72504,0.25479,0.14487,0.09223,0.05206,1.71918,2.71926,1.83986,0.009868,0.009868,0.009868
10,758.391,1.58914,2.7705,1.68778,0.2943,0.16182,0.11151,0.06453,1.65694,2.624,1.79769,0.0098515,0.0098515,0.0098515
11,791.056,1.55804,2.64796,1.65269,0.25735,0.18021,0.12987,0.07689,1.61356,2.49486,1.73029,0.009835,0.009835,0.009835
12,823.669,1.52001,2.59105,1.6377,0.24881,0.18679,0.1378,0.08203,1.59007,2.42142,1.7136,0.0098185,0.0098185,0.0098185
13,856.071,1.5138,2.51013,1.61153,0.26905,0.20163,0.15132,0.09203,1.56479,2.35783,1.67356,0.009802,0.009802,0.009802
14,889.045,1.48752,2.49342,1.60625,0.28763,0.20466,0.16068,0.09795,1.5514,2.33924,1.66669,0.0097855,0.0097855,0.0097855
15,920.891,1.45335,2.43878,1.57258,0.30571,0.21502,0.16994,0.10524,1.53274,2.28454,1.64834,0.009769,0.009769,0.009769
16,952.944,1.44281,2.35653,1.54696,0.3056,0.22108,0.18437,0.11479,1.51629,2.24084,1.62391,0.0097525,0.0097525,0.0097525
17,984.902,1.44107,2.31861,1.53218,0.30941,0.22924,0.19587,0.12151,1.497,2.18651,1.60924,0.009736,0.009736,0.009736
18,1016.72,1.43392,2.29872,1.53044,0.33916,0.24001,0.20694,0.12958,1.47149,2.11743,1.58411,0.0097195,0.0097195,0.0097195
19,1048.71,1.4056,2.23058,1.52631,0.36768,0.24685,0.21796,0.13737,1.46377,2.10074,1.5753,0.009703,0.009703,0.009703
20,1080.21,1.40663,2.2023,1.50295,0.35572,0.25375,0.22324,0.14199,1.46025,2.07712,1.57491,0.0096865,0.0096865,0.0096865
21,1111.98,1.38705,2.20915,1.49803,0.35948,0.26343,0.23559,0.15029,1.44076,2.03345,1.55267,0.00967,0.00967,0.00967
