epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,673.161,3.52899,5.57107,4.10215,0.00118,0.0114,0.00071,0.00019,3.14639,4.8037,3.77299,0.00332121,0.00332121,0.00332121
2,800.91,2.4564,4.26464,2.79143,0.26644,0.04554,0.01912,0.0087,2.11533,3.54246,2.44545,0.00664357,0.00664357,0.00664357
3,931.145,1.81451,3.37748,2.03264,0.16898,0.11325,0.0617,0.03389,1.72614,2.9968,1.98368,0.00995492,0.00995492,0.00995492
4,1060.09,1.55918,2.81846,1.75512,0.2088,0.18276,0.12179,0.07196,1.54623,2.58526,1.77536,0.0099505,0.0099505,0.0099505
5,1186.49,1.41715,2.46406,1.62401,0.3282,0.22499,0.18996,0.11807,1.45059,2.2183,1.67072,0.009934,0.009934,0.009934
6,1313.77,1.33999,2.23764,1.55029,0.37652,0.26049,0.22835,0.14549,1.38534,2.0786,1.60306,0.0099175,0.0099175,0.0099175
7,1439.96,1.29891,2.07909,1.50228,0.41775,0.28443,0.26397,0.17174,1.33176,1.91047,1.55875,0.009901,0.009901,0.009901
8,1567.03,1.2634,1.98708,1.47719,0.42967,0.30407,0.29498,0.19363,1.29475,1.83901,1.51726,0.0098845,0.0098845,0.0098845
9,1694.2,1.22286,1.85583,1.43424,0.45278,0.32687,0.32191,0.2157,1.25951,1.71943,1.48303,0.009868,0.009868,0.009868
10,1821.42,1.20184,1.7847,1.41168,0.47776,0.33878,0.34442,0.23309,1.22479,1.65298,1.45457,0.0098515,0.0098515,0.0098515
11,1948.28,1.16826,1.72381,1.39055,0.48983,0.35482,0.36155,0.24624,1.20411,1.59497,1.43116,0.009835,0.009835,0.009835
12,2074.9,1.16074,1.65352,1.37476,0.49476,0.37183,0.38136,0.2619,1.18416,1.53783,1.4124,0.0098185,0.0098185,0.0098185
13,2200.8,1.14147,1.6521,1.35945,0.53096,0.38108,0.39832,0.2729,1.16838,1.48501,1.39352,0.009802,0.009802,0.009802
14,2326.79,1.13186,1.58324,1.35348,0.50268,0.39523,0.40947,0.28247,1.14709,1.45514,1.37839,0.0097855,0.0097855,0.0097855
