epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.303,3.67347,5.76281,4.25666,0.00042,0.00017,0.00021,5e-05,3.58005,5.39582,4.17105,0.00330918,0.00330918,0.00330918
2,280.944,3.59108,5.61006,4.07064,0.00065,0.00555,0.00036,5e-05,3.43538,11.6163,4.05854,0.00663155,0.00663155,0.00663155
3,353.149,2.58023,4.55801,2.76164,0.28042,0.02093,0.00334,0.00131,2.3709,4.99815,2.6032,0.00994293,0.00994293,0.00994293
4,417.116,2.05325,3.86985,2.15423,0.29594,0.0435,0.01476,0.00713,2.08825,3.89282,2.20703,0.0099505,0.0099505,0.0099505
5,474.861,1.84762,3.53403,1.94883,0.29702,0.07657,0.03377,0.01719,1.91311,3.34365,2.03639,0.009934,0.009934,0.009934
6,533.058,1.76481,3.26356,1.84324,0.23542,0.10423,0.0553,0.02933,1.83458,3.05963,1.92723,0.0099175,0.0099175,0.0099175
7,591.3,1.70501,3.07975,1.78473,0.23478,0.12392,0.07092,0.03924,1.7587,2.92445,1.86489,0.009901,0.009901,0.009901
8,648.405,1.66587,2.95055,1.73979,0.22487,0.13426,0.08168,0.04623,1.72719,2.7828,1.80796,0.0098845,0.0098845,0.0098845
9,706.253,1.62345,2.84476,1.70055,0.22796,0.15369,0.09748,0.055,1.694,2.69308,1.78048,0.009868,0.009868,0.009868
10,762.304,1.60751,2.74178,1.66676,0.25332,0.16591,0.11575,0.06743,1.66824,2.56069,1.75406,0.0098515,0.0098515,0.0098515
11,818.709,1.56327,2.66981,1.63679,0.2649,0.17593,0.12708,0.07539,1.6489,2.53744,1.72868,0.009835,0.009835,0.009835
12,874.751,1.5318,2.63313,1.62325,0.28037,0.18499,0.1413,0.08491,1.6137,2.42909,1.68963,0.0098185,0.0098185,0.0098185
13,932.356,1.52599,2.53692,1.60514,0.31034,0.19132,0.14966,0.09082,1.58249,2.42788,1.65754,0.009802,0.009802,0.009802
14,989.251,1.5027,2.50225,1.58724,0.29355,0.20625,0.16281,0.09885,1.56656,2.34856,1.6525,0.0097855,0.0097855,0.0097855
15,1045.01,1.48743,2.4824,1.56826,0.30234,0.20636,0.17327,0.10668,1.55173,2.26764,1.63501,0.009769,0.009769,0.009769
16,1101.33,1.47243,2.43854,1.5472,0.33152,0.21827,0.18186,0.11358,1.5414,2.25711,1.61543,0.0097525,0.0097525,0.0097525
17,1157.71,1.45717,2.39085,1.53707,0.36042,0.22635,0.19254,0.11973,1.52667,2.20229,1.59546,0.009736,0.009736,0.009736
18,1213.84,1.49124,2.37057,1.5434,0.34519,0.2286,0.20367,0.12769,1.5106,2.17134,1.5873,0.0097195,0.0097195,0.0097195
19,1269.6,1.45554,2.3251,1.53011,0.34985,0.2315,0.20693,0.13089,1.49335,2.1472,1.56642,0.009703,0.009703,0.009703
20,1326.31,1.43935,2.29353,1.50856,0.37906,0.2403,0.22092,0.13938,1.47822,2.10819,1.55915,0.0096865,0.0096865,0.0096865
21,1382.46,1.40749,2.25043,1.49781,0.39164,0.24327,0.22893,0.14604,1.47021,2.06595,1.54485,0.00967,0.00967,0.00967
22,1438.15,1.40296,2.20511,1.4875,0.38384,0.24449,0.22873,0.14507,1.47468,2.06845,1.54358,0.0096535,0.0096535,0.0096535
23,1494.01,1.40319,2.19002,1.47436,0.38598,0.26439,0.24181,0.15436,1.45484,2.01823,1.52469,0.009637,0.009637,0.009637
24,1550.05,1.36908,2.16199,1.45898,0.37822,0.26391,0.24521,0.15723,1.44422,2.0062,1.52647,0.0096205,0.0096205,0.0096205
25,1605.58,1.39501,2.16831,1.47333,0.40589,0.26842,0.254,0.16194,1.43942,1.97387,1.51577,0.009604,0.009604,0.009604
26,1661.44,1.39353,2.13628,1.46327,0.42836,0.26692,0.25994,0.16849,1.43488,1.96069,1.50808,0.0095875,0.0095875,0.0095875
27,1716.94,1.36813,2.12665,1.4497,0.40587,0.27138,0.25918,0.16729,1.42694,1.94171,1.49826,0.009571,0.009571,0.009571
28,1772.67,1.32986,2.05819,1.42019,0.4061,0.28279,0.26795,0.17375,1.41687,1.92052,1.49308,0.0095545,0.0095545,0.0095545
29,1828.07,1.34821,2.06713,1.43981,0.42067,0.28899,0.27233,0.17734,1.4146,1.90303,1.49041,0.009538,0.009538,0.009538
30,1883.49,1.35021,2.10016,1.43307,0.43429,0.28799,0.27883,0.18123,1.40911,1.87789,1.48367,0.0095215,0.0095215,0.0095215
31,1939.09,1.34001,2.07735,1.42659,0.42839,0.29895,0.28723,0.18703,1.39283,1.84651,1.46457,0.009505,0.009505,0.009505
32,1994.65,1.33683,2.03256,1.41989,0.42785,0.30142,0.28871,0.18919,1.38911,1.84834,1.46741,0.0094885,0.0094885,0.0094885
33,2049.75,1.34594,2.01119,1.42056,0.43825,0.30087,0.29593,0.19369,1.3888,1.83345,1.46102,0.009472,0.009472,0.009472
34,2104.99,1.3526,2.00843,1.42562,0.44172,0.30198,0.29787,0.19528,1.38074,1.82197,1.45502,0.0094555,0.0094555,0.0094555
35,2160.19,1.32691,1.97154,1.40536,0.44766,0.29896,0.29602,0.19312,1.38967,1.82363,1.45775,0.009439,0.009439,0.009439
36,2215.22,1.29178,1.97353,1.38652,0.47188,0.30517,0.30573,0.2017,1.37246,1.797,1.44486,0.0094225,0.0094225,0.0094225
37,2270.75,1.31443,1.95437,1.39368,0.4614,0.31037,0.30902,0.20444,1.36603,1.77828,1.43227,0.009406,0.009406,0.009406
38,2326.62,1.31535,1.98687,1.40146,0.46168,0.31226,0.3132,0.2062,1.35825,1.76794,1.43392,0.0093895,0.0093895,0.0093895
39,2382.04,1.31706,1.95772,1.39273,0.48263,0.31316,0.31678,0.20851,1.35567,1.75244,1.42905,0.009373,0.009373,0.009373
40,2437.6,1.30514,1.92499,1.3914,0.4829,0.31847,0.32197,0.21271,1.35596,1.73647,1.42836,0.0093565,0.0093565,0.0093565
41,2493.23,1.31917,1.90506,1.39545,0.46557,0.32144,0.3236,0.21536,1.34421,1.72674,1.41542,0.00934,0.00934,0.00934
42,2548.76,1.30765,1.88303,1.38534,0.46244,0.32648,0.32702,0.21688,1.3401,1.71944,1.41377,0.0093235,0.0093235,0.0093235
43,2604.29,1.31552,1.88902,1.38636,0.48197,0.3278,0.32851,0.21771,1.33664,1.70929,1.40865,0.009307,0.009307,0.009307
44,2660.06,1.30315,1.88663,1.38491,0.47246,0.32758,0.3328,0.22176,1.33133,1.69556,1.40264,0.0092905,0.0092905,0.0092905
45,2715.77,1.29972,1.87006,1.37358,0.47306,0.32832,0.33549,0.22404,1.3329,1.69377,1.40053,0.009274,0.009274,0.009274
46,2771.78,1.29827,1.85951,1.37529,0.49216,0.33178,0.34186,0.22838,1.32407,1.6675,1.39508,0.0092575,0.0092575,0.0092575
47,2827.37,1.28389,1.85747,1.36526,0.48437,0.33729,0.34448,0.23023,1.32092,1.66496,1.39357,0.009241,0.009241,0.009241
48,2883.08,1.28476,1.83259,1.35276,0.48424,0.33239,0.3441,0.23058,1.31701,1.66307,1.39364,0.0092245,0.0092245,0.0092245
49,2938.76,1.28636,1.85692,1.37119,0.47724,0.33786,0.34887,0.23344,1.31713,1.64861,1.38526,0.009208,0.009208,0.009208
50,2994.58,1.28301,1.83576,1.35839,0.48272,0.34062,0.35076,0.23527,1.3099,1.64305,1.38484,0.0091915,0.0091915,0.0091915
51,3050.37,1.28557,1.85095,1.36355,0.48404,0.3411,0.35147,0.23548,1.31044,1.63825,1.38146,0.009175,0.009175,0.009175
52,3106.31,1.27201,1.82069,1.35805,0.49233,0.34213,0.35502,0.23815,1.30481,1.62617,1.37543,0.0091585,0.0091585,0.0091585
53,3162.13,1.26749,1.80357,1.34337,0.48144,0.33969,0.35027,0.23532,1.30576,1.63747,1.38026,0.009142,0.009142,0.009142
