epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.054,3.60719,5.66413,4.17503,0.00104,0.00398,0.00059,0.00015,3.27437,5.05947,3.93239,0.00331522,0.00331522,0.00331522
2,522.958,2.79796,4.60815,3.16466,0.34236,0.0285,0.00696,0.00284,2.46474,4.1088,2.7734,0.00663758,0.00663758,0.00663758
3,622.504,1.97057,3.67544,2.21909,0.20738,0.08698,0.03757,0.01945,1.92153,3.40386,2.18201,0.00994894,0.00994894,0.00994894
4,722.985,1.64784,3.10061,1.86264,0.24903,0.13468,0.07907,0.0449,1.66883,2.96335,1.87367,0.0099505,0.0099505,0.0099505
5,821.719,1.50699,2.75178,1.71569,0.23848,0.17465,0.12506,0.07475,1.55503,2.56522,1.7757,0.009934,0.009934,0.009934
6,917.592,1.4327,2.46695,1.61936,0.298,0.22285,0.17584,0.10902,1.4691,2.31172,1.69559,0.0099175,0.0099175,0.0099175
7,1012.46,1.35981,2.31486,1.57815,0.34937,0.23188,0.2001,0.12584,1.43365,2.20864,1.6471,0.009901,0.009901,0.009901
8,1107.63,1.3314,2.18313,1.53545,0.3746,0.24736,0.22144,0.14192,1.38814,2.09026,1.59795,0.0098845,0.0098845,0.0098845
9,1202.68,1.28343,2.09788,1.50648,0.37893,0.27646,0.24983,0.16228,1.3511,1.96993,1.56823,0.009868,0.009868,0.009868
10,1298.54,1.26645,1.99739,1.47666,0.4015,0.29291,0.27764,0.18227,1.31349,1.90203,1.5289,0.0098515,0.0098515,0.0098515
11,1393.2,1.23715,1.92649,1.45055,0.42574,0.30875,0.29748,0.19801,1.28632,1.80062,1.50962,0.009835,0.009835,0.009835
12,1488.22,1.22103,1.88108,1.44317,0.42812,0.32475,0.31232,0.20864,1.27133,1.77767,1.49028,0.0098185,0.0098185,0.0098185
13,1582.93,1.20151,1.81498,1.41946,0.44665,0.33212,0.32891,0.22049,1.25539,1.70144,1.47341,0.009802,0.009802,0.009802
14,1677.71,1.16807,1.7504,1.40192,0.47916,0.33899,0.34341,0.23223,1.2285,1.66711,1.45236,0.0097855,0.0097855,0.0097855
15,1772.41,1.16364,1.70169,1.39221,0.46764,0.35746,0.3559,0.24091,1.2142,1.61692,1.44357,0.009769,0.009769,0.009769
16,1866.74,1.15329,1.69574,1.38054,0.4918,0.36222,0.37109,0.25331,1.19784,1.57418,1.42879,0.0097525,0.0097525,0.0097525
17,1961.13,1.14421,1.65324,1.37252,0.50718,0.37106,0.38013,0.26058,1.1895,1.568,1.41119,0.009736,0.009736,0.009736
18,2055.47,1.12099,1.60634,1.35838,0.5053,0.38876,0.39255,0.26769,1.17676,1.52522,1.39942,0.0097195,0.0097195,0.0097195
19,2149.75,1.11725,1.57601,1.33774,0.51501,0.39165,0.40015,0.27616,1.16336,1.49024,1.38979,0.009703,0.009703,0.009703
20,2243.86,1.10106,1.5384,1.33074,0.51954,0.40718,0.41465,0.28652,1.15466,1.45237,1.38299,0.0096865,0.0096865,0.0096865
21,2338.04,1.09941,1.5363,1.32976,0.52219,0.40461,0.4178,0.28947,1.14706,1.43843,1.37179,0.00967,0.00967,0.00967
22,2431.54,1.08404,1.49074,1.31339,0.53567,0.41106,0.43153,0.29972,1.13973,1.40038,1.36385,0.0096535,0.0096535,0.0096535
23,2525.6,1.06874,1.47428,1.3075,0.54454,0.42382,0.4383,0.30509,1.12908,1.38522,1.35435,0.009637,0.009637,0.009637
24,2619.56,1.07089,1.45117,1.3057,0.54944,0.41866,0.44374,0.31036,1.11953,1.36952,1.34467,0.0096205,0.0096205,0.0096205
25,2713.24,1.06835,1.43528,1.30202,0.54825,0.43026,0.44938,0.31486,1.11452,1.34682,1.33978,0.009604,0.009604,0.009604
26,2807.19,1.06152,1.42019,1.29954,0.55598,0.44001,0.45905,0.32121,1.10604,1.32794,1.33596,0.0095875,0.0095875,0.0095875
27,2900.53,1.04872,1.40257,1.28866,0.54317,0.44115,0.46147,0.32524,1.10211,1.31728,1.32615,0.009571,0.009571,0.009571
28,2993.49,1.05534,1.38451,1.28952,0.567,0.44714,0.4688,0.33054,1.09189,1.2972,1.31917,0.0095545,0.0095545,0.0095545
29,3086.34,1.04284,1.4045,1.28893,0.5757,0.45139,0.48005,0.33863,1.08638,1.27871,1.31656,0.009538,0.009538,0.009538
30,3179.19,1.03534,1.36714,1.27003,0.58025,0.45304,0.48224,0.34247,1.08127,1.26461,1.30739,0.0095215,0.0095215,0.0095215
31,3272.17,1.03861,1.3439,1.26961,0.58076,0.457,0.48751,0.34577,1.0795,1.25531,1.30382,0.009505,0.009505,0.009505
32,3365.02,1.0201,1.32083,1.25916,0.58543,0.46377,0.49124,0.34923,1.06819,1.24092,1.29607,0.0094885,0.0094885,0.0094885
33,3457.93,1.03684,1.31682,1.25924,0.58544,0.47009,0.49902,0.35571,1.06797,1.22931,1.29393,0.009472,0.009472,0.009472
34,3550.7,1.0341,1.2788,1.24646,0.60294,0.47174,0.50673,0.3612,1.06331,1.20793,1.29554,0.0094555,0.0094555,0.0094555
35,3643.58,1.02582,1.29915,1.25896,0.59355,0.47801,0.50695,0.36274,1.05987,1.20184,1.2881,0.009439,0.009439,0.009439
36,3736.29,1.01394,1.29034,1.25146,0.60928,0.4755,0.51315,0.36721,1.05508,1.19504,1.28518,0.0094225,0.0094225,0.0094225
37,3829.15,1.00564,1.26122,1.24527,0.61806,0.47823,0.51559,0.37011,1.05051,1.18991,1.27621,0.009406,0.009406,0.009406
38,3922,0.99471,1.25226,1.23909,0.62278,0.48669,0.52178,0.37277,1.0503,1.17618,1.27405,0.0093895,0.0093895,0.0093895
