epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.486,3.67754,5.78726,4.27041,0.00091,0.00488,0.00054,0.00014,3.56512,6.79883,4.26904,0.00332613,0.00332613,0.00332613
2,359.555,2.79114,4.66525,3.18469,0.27603,0.0568,0.02358,0.01048,2.16977,3.51306,2.44812,0.00664848,0.00664848,0.00664848
3,474.291,1.79454,3.25876,1.99577,0.22483,0.14588,0.0924,0.0513,1.72818,2.86898,1.93862,0.00995982,0.00995982,0.00995982
4,584.792,1.52035,2.62882,1.70908,0.30741,0.22075,0.17853,0.10851,1.52441,2.26765,1.73715,0.0099505,0.0099505,0.0099505
5,695.062,1.39803,2.27359,1.58486,0.38584,0.2743,0.24911,0.15767,1.40981,1.99857,1.61345,0.009934,0.009934,0.009934
6,805.942,1.32196,2.07619,1.51607,0.41849,0.30414,0.28978,0.18876,1.34093,1.84609,1.54181,0.0099175,0.0099175,0.0099175
7,916.444,1.27569,1.92648,1.46636,0.45246,0.33163,0.3324,0.22034,1.29274,1.70162,1.49162,0.009901,0.009901,0.009901
8,1026.38,1.24634,1.82846,1.4352,0.49023,0.35045,0.35888,0.24135,1.25445,1.61065,1.45491,0.0098845,0.0098845,0.0098845
9,1136.74,1.20007,1.72402,1.39726,0.49861,0.38607,0.38809,0.2622,1.2248,1.53167,1.42567,0.009868,0.009868,0.009868
10,1246.53,1.18936,1.68164,1.38094,0.51572,0.39352,0.41342,0.28291,1.19619,1.46615,1.3964,0.0098515,0.0098515,0.0098515
11,1356.22,1.1643,1.60834,1.35851,0.52167,0.41145,0.43004,0.29609,1.17449,1.42314,1.37289,0.009835,0.009835,0.009835
12,1465.85,1.16324,1.57395,1.34888,0.53954,0.43182,0.45029,0.31119,1.15521,1.37061,1.35065,0.0098185,0.0098185,0.0098185
