epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.989,3.50353,5.46908,4.03131,0.00143,0.02916,0.00123,0.00039,2.92096,4.52379,3.40462,0.00332613,0.00332613,0.00332613
2,481.038,2.18333,3.91361,2.48893,0.27159,0.07445,0.03037,0.01488,2.056,3.42346,2.31601,0.00664848,0.00664848,0.00664848
3,635.119,1.70888,3.15888,1.90811,0.20459,0.14517,0.08089,0.04629,1.69305,2.85654,1.90082,0.00995982,0.00995982,0.00995982
4,787.992,1.48015,2.62426,1.67376,0.28747,0.20224,0.16313,0.10126,1.49587,2.3264,1.70947,0.0099505,0.0099505,0.0099505
5,940.425,1.36519,2.26623,1.55631,0.37385,0.2598,0.23318,0.14928,1.38342,2.04467,1.59658,0.009934,0.009934,0.009934
6,1093.58,1.28982,2.06876,1.49091,0.41695,0.30433,0.28146,0.18451,1.30917,1.86793,1.52074,0.0099175,0.0099175,0.0099175
7,1245.56,1.24335,1.91846,1.44706,0.44929,0.32436,0.32012,0.21474,1.26365,1.71487,1.47358,0.009901,0.009901,0.009901
8,1397.28,1.21425,1.82004,1.41768,0.47003,0.34901,0.35211,0.23856,1.23047,1.62085,1.44123,0.0098845,0.0098845,0.0098845
9,1549.05,1.16932,1.70744,1.38427,0.51252,0.36853,0.37922,0.26148,1.1871,1.53964,1.40443,0.009868,0.009868,0.009868
10,1700.74,1.15919,1.6655,1.36927,0.51043,0.3934,0.40221,0.27919,1.16448,1.46937,1.38459,0.0098515,0.0098515,0.0098515
11,1852.04,1.13393,1.58653,1.34729,0.54449,0.40099,0.42792,0.29849,1.13854,1.40741,1.35906,0.009835,0.009835,0.009835
12,2003.14,1.13259,1.55611,1.34159,0.54459,0.41978,0.44504,0.31243,1.12054,1.36411,1.34181,0.0098185,0.0098185,0.0098185
13,2154.3,1.11064,1.50896,1.32317,0.57595,0.43188,0.46175,0.32689,1.107,1.32199,1.32686,0.009802,0.009802,0.009802
14,2305.49,1.08787,1.46676,1.30566,0.563,0.45793,0.47862,0.33899,1.08974,1.28825,1.30891,0.0097855,0.0097855,0.0097855
15,2456.69,1.06969,1.42676,1.28675,0.59366,0.4537,0.48778,0.34707,1.07863,1.25657,1.29734,0.009769,0.009769,0.009769
16,2607.98,1.0684,1.42067,1.29131,0.5899,0.47156,0.50126,0.35783,1.06538,1.22566,1.28732,0.0097525,0.0097525,0.0097525
17,2758.88,1.06573,1.40484,1.28131,0.62002,0.47031,0.5123,0.36653,1.05845,1.19865,1.2774,0.009736,0.009736,0.009736
18,2910.82,1.05584,1.36619,1.27304,0.60634,0.48604,0.52005,0.37337,1.05086,1.18111,1.26864,0.0097195,0.0097195,0.0097195
19,3062.68,1.04972,1.34474,1.26503,0.62298,0.48503,0.52962,0.3819,1.04065,1.15662,1.26182,0.009703,0.009703,0.009703
20,3214.38,1.03939,1.33389,1.25835,0.62939,0.4946,0.53846,0.38994,1.03489,1.13893,1.255,0.0096865,0.0096865,0.0096865
21,3365.42,1.032,1.30556,1.25694,0.64322,0.50005,0.54496,0.39515,1.0258,1.12625,1.24815,0.00967,0.00967,0.00967
22,3516.77,1.03345,1.29261,1.25225,0.63036,0.51303,0.55217,0.40118,1.01983,1.11093,1.24015,0.0096535,0.0096535,0.0096535
23,3667.89,1.01931,1.28048,1.24568,0.64657,0.51012,0.55893,0.40607,1.01397,1.09597,1.23696,0.009637,0.009637,0.009637
24,3819.77,1.01583,1.26571,1.24243,0.65147,0.51433,0.56449,0.41164,1.00766,1.0865,1.22948,0.0096205,0.0096205,0.0096205
25,3971.35,1.01413,1.25301,1.23284,0.64215,0.52492,0.56768,0.41507,1.0042,1.07578,1.22649,0.009604,0.009604,0.009604
26,4122.58,1.01135,1.24673,1.23401,0.65,0.52921,0.57358,0.41859,1.00076,1.06625,1.22218,0.0095875,0.0095875,0.0095875
27,4273.59,1.01353,1.23051,1.23266,0.64897,0.53625,0.57824,0.42254,0.99735,1.05775,1.21863,0.009571,0.009571,0.009571
28,4424.57,1.00415,1.21109,1.22394,0.66445,0.53439,0.58208,0.4265,0.99491,1.04895,1.21603,0.0095545,0.0095545,0.0095545
29,4575.36,0.99955,1.19976,1.22481,0.65887,0.5376,0.58555,0.42945,0.99109,1.0413,1.21224,0.009538,0.009538,0.009538
30,4726.25,1.00221,1.20156,1.22311,0.65799,0.54232,0.58805,0.43183,0.98844,1.03699,1.20887,0.0095215,0.0095215,0.0095215
31,4877.03,0.98898,1.19107,1.21582,0.65894,0.54463,0.58934,0.43381,0.98438,1.03108,1.20549,0.009505,0.009505,0.009505
32,5027.91,0.98891,1.19218,1.21322,0.67653,0.53886,0.59263,0.43612,0.98203,1.02531,1.20332,0.0094885,0.0094885,0.0094885
33,5179.58,0.99689,1.18586,1.21368,0.66863,0.54483,0.59599,0.43851,0.97954,1.0199,1.20127,0.009472,0.009472,0.009472
34,5331.16,0.98444,1.15815,1.20666,0.67579,0.546,0.59794,0.44076,0.97754,1.01504,1.19894,0.0094555,0.0094555,0.0094555
35,5482.1,0.98765,1.16915,1.20758,0.67748,0.54704,0.60021,0.44251,0.9761,1.01072,1.19718,0.009439,0.009439,0.009439
36,5633.08,0.98939,1.14564,1.20622,0.68131,0.54637,0.60149,0.44377,0.97416,1.00791,1.19517,0.0094225,0.0094225,0.0094225
37,5784.14,0.97819,1.13866,1.20342,0.68035,0.54764,0.60298,0.44544,0.97311,1.00423,1.1944,0.009406,0.009406,0.009406
38,5934.81,0.97834,1.14335,1.20445,0.68204,0.54911,0.60484,0.44675,0.9717,1.00148,1.19279,0.0093895,0.0093895,0.0093895
39,6085.5,0.97851,1.13699,1.20252,0.68584,0.54856,0.6061,0.44746,0.97048,0.99829,1.19162,0.009373,0.009373,0.009373
