epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.54,3.62918,5.76137,4.24036,0.00094,0.01871,0.00052,0.00017,3.51998,5.74716,4.30163,0.00332295,0.00332295,0.00332295
2,546.224,2.98308,4.99451,3.36856,0.00269,0.09202,0.00368,0.00148,2.36413,3.98069,2.64893,0.0066453,0.0066453,0.0066453
3,657.698,2.03176,3.80022,2.22407,0.32217,0.0659,0.02833,0.01371,1.96977,3.45455,2.22522,0.00995665,0.00995665,0.00995665
4,768.933,1.77407,3.25465,1.91867,0.18977,0.11562,0.06489,0.03582,1.78159,2.96078,1.95667,0.0099505,0.0099505,0.0099505
5,877.759,1.6287,2.94657,1.78021,0.26632,0.14607,0.0958,0.05503,1.69382,2.67131,1.84647,0.009934,0.009934,0.009934
6,986.308,1.5836,2.71384,1.71118,0.30116,0.17376,0.13129,0.07858,1.61943,2.46122,1.76458,0.0099175,0.0099175,0.0099175
7,1094.32,1.52932,2.55604,1.65738,0.28101,0.2038,0.15663,0.09546,1.56891,2.3378,1.72545,0.009901,0.009901,0.009901
8,1202.54,1.50634,2.4796,1.62461,0.311,0.20828,0.17157,0.1052,1.5389,2.25874,1.6745,0.0098845,0.0098845,0.0098845
9,1311.13,1.45275,2.39508,1.58601,0.32564,0.22907,0.19446,0.12103,1.50676,2.16076,1.64046,0.009868,0.009868,0.009868
10,1419.15,1.43374,2.31914,1.56035,0.34219,0.24982,0.21874,0.13698,1.47509,2.07546,1.60863,0.0098515,0.0098515,0.0098515
11,1527.72,1.40994,2.25394,1.53511,0.39874,0.24829,0.23315,0.14762,1.45575,2.03349,1.5854,0.009835,0.009835,0.009835
12,1635.72,1.39081,2.19732,1.51341,0.39688,0.26459,0.2487,0.15939,1.43661,1.97226,1.55747,0.0098185,0.0098185,0.0098185
13,1744.08,1.38742,2.17626,1.50932,0.41783,0.27007,0.26099,0.16823,1.42008,1.94314,1.54632,0.009802,0.009802,0.009802
14,1852.18,1.36935,2.11735,1.48086,0.42205,0.28193,0.27583,0.17918,1.40163,1.88803,1.5215,0.0097855,0.0097855,0.0097855
15,1960.2,1.35945,2.1019,1.47173,0.41161,0.29505,0.2854,0.18603,1.39041,1.86042,1.50465,0.009769,0.009769,0.009769
16,2068.22,1.34819,2.03834,1.46166,0.45413,0.29857,0.29927,0.19716,1.37416,1.80647,1.48391,0.0097525,0.0097525,0.0097525
17,2176.5,1.34427,2.01961,1.44873,0.41316,0.30747,0.30433,0.20008,1.36677,1.79209,1.48042,0.009736,0.009736,0.009736
18,2284.48,1.33493,1.99251,1.43673,0.46844,0.30964,0.31708,0.21029,1.34936,1.75444,1.46251,0.0097195,0.0097195,0.0097195
19,2392.68,1.32129,2.00248,1.43143,0.45319,0.31756,0.32312,0.2154,1.34352,1.73011,1.45097,0.009703,0.009703,0.009703
20,2500.9,1.32482,1.94291,1.42524,0.47203,0.32686,0.33237,0.2223,1.32967,1.70233,1.43839,0.0096865,0.0096865,0.0096865
21,2609.78,1.31723,1.95474,1.42245,0.48258,0.33441,0.33923,0.22623,1.32383,1.67987,1.42821,0.00967,0.00967,0.00967
22,2718.31,1.29833,1.9212,1.40717,0.47936,0.33429,0.34263,0.23084,1.31116,1.65709,1.41447,0.0096535,0.0096535,0.0096535
23,2827.38,1.30913,1.91684,1.40748,0.49551,0.33883,0.34893,0.23507,1.30434,1.64201,1.40808,0.009637,0.009637,0.009637
24,2936.69,1.27762,1.88843,1.38992,0.50453,0.34026,0.35599,0.2403,1.30077,1.62322,1.40075,0.0096205,0.0096205,0.0096205
25,3045.62,1.28453,1.8567,1.38694,0.50627,0.35126,0.36199,0.24596,1.29005,1.60538,1.38875,0.009604,0.009604,0.009604
26,3154.22,1.29085,1.85008,1.37919,0.50505,0.35174,0.36634,0.24789,1.28251,1.58716,1.38662,0.0095875,0.0095875,0.0095875
27,3262.76,1.28303,1.82427,1.37554,0.49682,0.35822,0.37089,0.25156,1.27809,1.57645,1.37804,0.009571,0.009571,0.009571
28,3372.71,1.27469,1.81914,1.36676,0.51507,0.35797,0.37611,0.25562,1.27192,1.56307,1.37289,0.0095545,0.0095545,0.0095545
29,3484.16,1.27048,1.81936,1.36904,0.53699,0.36024,0.37974,0.25851,1.26747,1.54735,1.36662,0.009538,0.009538,0.009538
30,3595.3,1.27429,1.80333,1.36628,0.52892,0.36888,0.38411,0.26172,1.26235,1.53278,1.35977,0.0095215,0.0095215,0.0095215
31,3705.58,1.27008,1.79066,1.36212,0.51406,0.37152,0.38758,0.26452,1.25764,1.52657,1.35452,0.009505,0.009505,0.009505
32,3816.51,1.26916,1.77159,1.35488,0.51711,0.37409,0.39299,0.26842,1.25378,1.51564,1.34916,0.0094885,0.0094885,0.0094885
33,3926.81,1.25196,1.74747,1.35122,0.53816,0.36972,0.39542,0.27091,1.25065,1.50765,1.34528,0.009472,0.009472,0.009472
34,4036.51,1.2436,1.7454,1.34218,0.56072,0.36937,0.3981,0.27363,1.24416,1.50007,1.33834,0.0094555,0.0094555,0.0094555
35,4146.18,1.25071,1.74148,1.33756,0.54215,0.38067,0.40063,0.27557,1.24087,1.48982,1.33423,0.009439,0.009439,0.009439
36,4255.88,1.23476,1.72249,1.33105,0.54189,0.38372,0.40294,0.2774,1.24079,1.48226,1.33326,0.0094225,0.0094225,0.0094225
