epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.41,3.60122,5.64395,4.1451,0.00077,0.00929,0.00052,0.00015,3.20515,4.79084,3.76606,0.00331884,0.00331884,0.00331884
2,732.782,2.65257,4.41553,2.95338,0.35941,0.04627,0.01335,0.00581,2.24084,3.97377,2.54639,0.0066412,0.0066412,0.0066412
3,844.197,1.88456,3.50956,2.10018,0.24071,0.09996,0.04776,0.02607,1.83434,3.13674,2.08572,0.00995256,0.00995256,0.00995256
4,955.152,1.61341,2.94294,1.81083,0.23516,0.15566,0.1012,0.0598,1.62954,2.68358,1.85391,0.0099505,0.0099505,0.0099505
5,1067.08,1.46196,2.58564,1.66855,0.29111,0.20786,0.15904,0.09688,1.50446,2.39612,1.71695,0.009934,0.009934,0.009934
6,1178.35,1.38459,2.32933,1.58061,0.34773,0.22791,0.19285,0.121,1.43632,2.21006,1.65137,0.0099175,0.0099175,0.0099175
7,1289.21,1.33901,2.19902,1.54399,0.35198,0.25644,0.22664,0.14545,1.39141,2.0791,1.59441,0.009901,0.009901,0.009901
8,1399.06,1.28934,2.06272,1.49787,0.39906,0.27378,0.25591,0.16663,1.34601,2.01473,1.57449,0.0098845,0.0098845,0.0098845
9,1509.47,1.23468,1.94251,1.45604,0.42553,0.3031,0.28492,0.18784,1.29747,1.85501,1.52134,0.009868,0.009868,0.009868
10,1619.59,1.22294,1.89486,1.44159,0.45851,0.31355,0.31764,0.21136,1.27363,1.74225,1.4959,0.0098515,0.0098515,0.0098515
11,1730.13,1.21439,1.83663,1.43026,0.49013,0.3243,0.32594,0.21809,1.24667,1.71059,1.47462,0.009835,0.009835,0.009835
12,1840.74,1.17964,1.75047,1.39928,0.47537,0.35213,0.35269,0.2388,1.21334,1.63641,1.43938,0.0098185,0.0098185,0.0098185
13,1951.54,1.16493,1.70475,1.39384,0.4898,0.35507,0.3646,0.2483,1.19842,1.58993,1.42143,0.009802,0.009802,0.009802
14,2061.96,1.14627,1.68777,1.37289,0.51227,0.37056,0.38292,0.26213,1.18469,1.54005,1.41077,0.0097855,0.0097855,0.0097855
15,2172.74,1.13158,1.61772,1.35531,0.50802,0.39029,0.39898,0.2749,1.16758,1.50709,1.40114,0.009769,0.009769,0.009769
16,2283.12,1.12557,1.59524,1.35006,0.52954,0.39208,0.40847,0.28318,1.15615,1.45967,1.38462,0.0097525,0.0097525,0.0097525
17,2393.42,1.11311,1.53609,1.3286,0.50984,0.40811,0.41338,0.28592,1.14356,1.45104,1.37196,0.009736,0.009736,0.009736
18,2503.46,1.10117,1.50475,1.32845,0.54216,0.40891,0.43489,0.3031,1.12978,1.40268,1.36028,0.0097195,0.0097195,0.0097195
19,2613.43,1.09068,1.4928,1.32041,0.53351,0.42438,0.43815,0.306,1.12727,1.38431,1.34878,0.009703,0.009703,0.009703
20,2723.74,1.08414,1.47877,1.31366,0.54212,0.43183,0.45182,0.3167,1.11306,1.35239,1.33981,0.0096865,0.0096865,0.0096865
21,2834.18,1.08133,1.43054,1.3094,0.56751,0.43676,0.46194,0.32486,1.09915,1.32628,1.33041,0.00967,0.00967,0.00967
22,2944.56,1.06579,1.41912,1.28822,0.55396,0.45065,0.46433,0.32762,1.09461,1.31525,1.32379,0.0096535,0.0096535,0.0096535
23,3055.39,1.05388,1.39869,1.28921,0.5748,0.44553,0.47329,0.33502,1.08758,1.29334,1.31265,0.009637,0.009637,0.009637
24,3165.93,1.05067,1.40665,1.27633,0.56375,0.45724,0.48031,0.34011,1.0832,1.27438,1.30962,0.0096205,0.0096205,0.0096205
25,3276.42,1.04004,1.38438,1.28188,0.58254,0.45694,0.48975,0.34785,1.0707,1.25783,1.30074,0.009604,0.009604,0.009604
26,3386.91,1.04366,1.34937,1.26746,0.57705,0.47497,0.50065,0.35719,1.06947,1.23719,1.29742,0.0095875,0.0095875,0.0095875
27,3497.37,1.03373,1.33537,1.2723,0.57565,0.479,0.4996,0.35648,1.06208,1.22184,1.2911,0.009571,0.009571,0.009571
28,3607.6,1.02804,1.31442,1.25975,0.59897,0.47703,0.50978,0.36649,1.05345,1.20367,1.28211,0.0095545,0.0095545,0.0095545
29,3718.11,1.0109,1.28952,1.24953,0.61559,0.48297,0.51752,0.37166,1.04954,1.19339,1.27941,0.009538,0.009538,0.009538
30,3827.95,1.01482,1.27465,1.24933,0.61912,0.47723,0.51934,0.37412,1.04404,1.17733,1.27212,0.0095215,0.0095215,0.0095215
31,3938.42,1.01697,1.26529,1.24387,0.61596,0.48902,0.5253,0.37869,1.03688,1.16181,1.26608,0.009505,0.009505,0.009505
32,4048.76,1.00674,1.24954,1.24348,0.61291,0.49152,0.52943,0.38234,1.03289,1.15329,1.2625,0.0094885,0.0094885,0.0094885
